county_fips,county_name,state_abbr,population,elec_res_mwh,elec_com_mwh,elec_ind_mwh,elec_total_mwh
36059,Nassau County,NY,1356801,1996571.041798075,2641251.78688303,391626.61749310483,5029449.44617421
36061,New York County,NY,1634989,3031650.304398635,10127265.360470649,399194.19135905127,13558109.856228335
36063,Niagara County,NY,213374,326002.5766616345,303535.30733491096,637586.5470334229,1267124.4310299684
36065,Oneida County,NY,232858,377866.825843004,495013.80198072747,302999.8572984987,1175880.4851222301
36067,Onondaga County,NY,468050,727633.57104602,1034798.68414951,888868.039548149,2651300.294743679
36069,Ontario County,NY,109450,180896.97082865,214500.26214572252,316445.58540215157,711842.8183765241
36071,Orange County,NY,376242,532269.1792337251,652697.046703835,251352.7011481308,1436318.9270856911
36073,Orleans County,NY,41938,65807.991408925,45715.53582088765,157943.91441944847,269467.4416492611
36075,Oswego County,NY,120513,207201.0331618365,163081.105626208,165041.50656121696,535323.6453492615
36077,Otsego County,NY,60979,102903.0692273175,109211.83130266849,57860.58313910648,269975.4836690925
36079,Putnam County,NY,99408,179806.7871555475,105458.2158664505,28700.70880638907,313965.71182838705
36081,Queens County,NY,2310011,4051410.305576295,2416091.424267365,450365.40683089884,6917867.136674559
36083,Rensselaer County,NY,159959,276014.833554328,261802.312651491,101067.88297786195,638885.0291836809
36085,Richmond County,NY,473324,1183231.88319847,559445.385501275,78712.4647991474,1821389.7334988925
36087,Rockland County,NY,322642,920527.802646928,1193201.80847178,114879.80035957569,2228609.4114782833
36089,St. Lawrence County,NY,111529,314472.89186544105,217089.148752882,294095.61279179266,825657.6534101157
36091,Saratoga County,NY,224929,827998.038036207,790762.2395551669,356474.37811600004,1975234.6557073737
36093,Schenectady County,NY,154845,494498.536518106,985465.933088311,137990.98337312872,1617955.4529795458
36095,Schoharie County,NY,31667,101492.700108794,69920.68055963419,32510.25330791807,203923.63397634626
36097,Schuyler County,NY,18336,61238.7964097094,47081.236724096205,79847.39919370032,188167.43232750593
36099,Seneca County,NY,35036,119748.144637959,85624.9283722724,76854.9526231109,282228.02563334233
36101,Steuben County,NY,98151,316078.653610418,257949.81076632498,139398.6223769071,713427.0867536501
36103,Suffolk County,NY,1498130,4778430.176772781,5079159.832020019,1028000.3580942588,10885590.366887057
36105,Sullivan County,NY,75818,250803.685043968,234788.086265052,34031.5836513044,519623.3549603244
36107,Tioga County,NY,49649,166880.250026728,75557.3286636416,86137.25362910208,328574.8323194717
36109,Tompkins County,NY,104268,281356.378971108,307679.07776454196,60031.04472244881,649066.5014580988
36111,Ulster County,NY,180505,544274.075720682,502062.995782893,96815.31845718356,1143152.3899607586
36113,Warren County,NY,64911,242206.196340648,421966.56693494,190750.67005600675,854923.4333315947
36115,Washington County,NY,62465,227070.180802307,116337.97735978401,175409.47244030001,518817.6306023911
36117,Wayne County,NY,91874,322695.800225931,257874.298528809,133936.08039592238,714506.1791506624
36119,Westchester County,NY,969229,2542681.21514476,3722939.09768584,291517.2986629382,6557137.611493538
36121,Wyoming County,NY,41239,119113.25792913599,110480.70556397601,61145.42787217067,290739.3913652827
36123,Yates County,NY,25106,83885.1766437871,53198.412017307695,153898.44882911848,290982.0374902133
37001,Alamance County,NC,156372,796364.492559044,677922.254917611,894309.7902464132,2368596.537723068
37003,Alexander County,NC,37211,200565.610629877,97233.1400441227,128612.99536454266,426411.7460385423
37005,Alleghany County,NC,10868,61099.6783180645,20787.3612894172,22885.627030235173,104772.66663771687
37007,Anson County,NC,25883,142972.79760205297,74144.7552794918,151376.3698776282,368493.922759173
37009,Ashe County,NC,26992,134917.870399209,66637.9442457686,26374.2484635771,227930.0631085547
37011,Avery County,NC,17633,76924.92658007529,39050.1680310374,10648.637355809546,126623.73196692225
37013,Beaufort County,NC,47513,276667.247068452,219880.18678845902,36797.40609362442,533344.8399505354
37015,Bertie County,NC,20324,112217.203369286,52600.9781443542,106702.42739416748,271520.6089078077
37017,Bladen County,NC,34454,221249.574122329,95073.52911848681,49878.99482963263,366202.09807044844
37019,Brunswick County,NC,119167,748318.870900157,465761.38068189105,179606.20660588902,1393686.4581879373
37021,Buncombe County,NC,250112,1137654.44195586,1557388.03692755,533710.5970024604,3228753.0758858705
37023,Burke County,NC,89082,477950.40393235395,317222.52902238,438364.8503747657,1233537.7833294997
37025,Cabarrus County,NC,192296,974414.450897519,956551.059703187,180439.7722049977,2111405.2828057036
37027,Caldwell County,NC,81623,443468.45553112205,285587.272366221,180989.42158229055,910045.1494796335
37029,Camden County,NC,10228,64270.022296683805,15216.640770579901,1894.6746783898445,81381.33774565355
37031,Carteret County,NC,68537,436685.83885819203,418471.091155315,14206.780442707992,869363.710456215
37033,Caswell County,NC,23094,135310.71632660402,53927.4119678758,19607.211150659943,208845.33944513975
37035,Catawba County,NC,155461,840123.996664962,905585.272676766,578736.870398497,2324446.139740225
37037,Chatham County,NC,68778,366434.260430569,208568.714831574,393304.766590465,968307.7418526079
37039,Cherokee County,NC,27226,135584.145526912,138897.427174575,63152.172778946995,337633.745480434
37041,Chowan County,NC,14556,86502.2832943401,48723.4699852088,4120.349745160424,139346.10302470933
37043,Clay County,NC,10730,63113.7450617008,70336.76461315989,10136.718827185277,143587.22850204597
37045,Cleveland County,NC,97113,563772.2564285019,793980.489273638,484755.5280541174,1842508.2737562575
37047,Columbus County,NC,57015,340896.071869159,234126.366424793,128623.72193594473,703646.1602298968
37049,Craven County,NC,104190,628754.073668946,425140.866084543,137490.18687018382,1191385.126623673
37051,Cumberland County,NC,325841,1829299.6739447801,1308306.8865099498,383608.2300690758,3521214.7905238057
37053,Currituck County,NC,24864,158350.53760837,72522.6311340955,8083.137261041075,238956.30600350656
37055,Dare County,NC,35187,208853.42356228,254315.773089564,2800.1693296347607,465969.3659814787
37057,Davidson County,NC,164058,985016.5051122219,528373.177086706,481340.78195990424,1994730.464158832
37059,Davie County,NC,41568,237446.052727017,185935.93680542998,93089.70795996576,516471.6974924127
37061,Duplin County,NC,59121,353816.25313806895,238574.010105358,427105.3461174474,1019495.6093608744
37063,Durham County,NC,294618,1341805.25148792,1954136.85060482,339357.94788573845,3635300.049978479
37065,Edgecombe County,NC,54669,359043.47016359697,173320.908273448,76592.32390587633,608956.7023429214
37067,Forsyth County,NC,364691,1850596.07371258,3226149.63126117,1732372.0605790361,6809117.765552786
37069,Franklin County,NC,62989,353263.821129727,129600.58137730599,248888.5871891803,731752.9896962133
37071,Gaston County,NC,211753,1170715.5234397599,912148.188684617,1290939.2911793878,3373803.003303765
37073,Gates County,NC,11615,73074.5437658118,18648.2541191598,12593.294458380622,104316.09234335223
37075,Graham County,NC,8651,42714.291323688,22811.6842703273,3799.0611170115762,69325.03671102687
37077,Granville County,NC,58341,309319.504281017,147499.936526512,295123.78937681153,751943.2301843406
37079,Greene County,NC,21241,128761.025093245,27723.9067509365,41109.54704069276,197594.47888487426
37081,Guilford County,NC,511815,2521858.8505398696,3654478.95104743,1208504.3801985006,7384842.1817858
37083,Halifax County,NC,52849,340288.193679856,220365.38598077,86987.96772069563,647641.5473813217
37085,Harnett County,NC,126620,654856.238274724,298459.076681453,166724.36675893076,1120039.6817151078
37087,Haywood County,NC,59577,325761.66986273,238367.460429324,58304.723546751855,622433.8538388059
37089,Henderson County,NC,110905,555372.8197917221,463721.081941707,242087.6613496224,1261181.5630830515
37091,Hertford County,NC,24285,133767.356724914,78152.8752719609,192650.6565527417,404570.8885496166
37093,Hoke County,NC,51853,282920.220654202,100620.870082763,72103.26273014768,455644.35346711264
37095,Hyde County,NC,5629,24744.3877064869,20296.8976767294,2679.0168741031225,47720.302257319425
37097,Iredell County,NC,167493,920602.942938859,1128071.11551986,406709.380897386,2455383.439356105
