treated_fips,treated_state,division,pt17_treated,pt17_control,control_fips,match_tier,log_dist,treated_growth,control_growth,treated_level_change,control_level_change
21035,21,East South Central,2.965,2.97,21155,state,0.0016849203649194067,23.67622259696458,0.9764309764309642,0.702,0.028999999999999915
21035,21,East South Central,2.965,2.972,21113,state,0.0023580944058239073,23.67622259696458,75.26917900403767,0.702,2.2369999999999997
21035,21,East South Central,2.965,3.133,21163,state,0.0551139795203659,23.67622259696458,21.12990743696137,0.702,0.6619999999999999
21157,21,East South Central,4.418,4.471,21089,state,0.011924992253918187,52.71616115889542,13.956609259673437,2.3289999999999997,0.6239999999999997
21157,21,East South Central,4.418,4.335,21107,state,0.01896549476542031,52.71616115889542,-7.243367935409461,2.3289999999999997,-0.31400000000000006
21157,21,East South Central,4.418,4.547,21019,state,0.028780569844947923,52.71616115889542,22.894215966571373,2.3289999999999997,1.0410000000000004
31081,31,West North Central,3.652,3.666,31127,state,0.0038261866847912884,50.191675794085434,0.8183306055646655,1.8330000000000002,0.03000000000000025
31081,31,West North Central,3.652,3.672,31139,state,0.005461510025521976,50.191675794085434,8.578431372549012,1.8330000000000002,0.31499999999999995
31081,31,West North Central,3.652,3.693,31121,state,0.011164173137704125,50.191675794085434,10.50636339019768,1.8330000000000002,0.38800000000000034
31153,31,West North Central,38.999,39.027,20013,division,0.0007177095122630206,32.813661888766376,10.216004304712122,12.796999999999997,3.987000000000002
31153,31,West North Central,38.999,38.001,46103,division,0.025923529605663465,32.813661888766376,4.568300834188577,12.796999999999997,1.7360000000000042
31153,31,West North Central,38.999,37.699,27061,division,0.03390243587204189,32.813661888766376,13.477811082522084,12.796999999999997,5.081000000000003
32029,32,Mountain,12.412,12.285,32019,state,0.010284740612991339,69.55365775056397,35.71835571835571,8.633000000000001,4.387999999999998
32029,32,Mountain,12.412,11.631,32011,state,0.06498979922923231,69.55365775056397,34.571404006534245,8.633000000000001,4.020999999999999
32029,32,Mountain,12.412,14.501,32013,state,0.15555386597962428,69.55365775056397,25.391352320529627,8.633000000000001,3.6820000000000004
